Vsw,Va,Sp,Tratio,sigma_Tp,f107,R,class
-0.53061502006718,0.211806038813379,-0.520569864730305,0.0167100610798129,-0.778057646062548,-0.723627430946287,-0.895874592701702,ejecta
-0.198578132168972,0.148077711624855,-0.533853146269593,0.449266883523756,-0.793816885736771,-0.607586063532343,0.451330414321558,ejecta
-0.407905735409146,-0.257542183517359,-0.373510626062873,-0.431116043967321,0.0185002865617823,-0.731539342360874,0.349011046699539,ejecta
-1.0575431247752,0.119403423202537,-0.319399855264579,-0.552564286870171,-0.46618278692974,-0.934611735335278,-0.708289085394665,ejecta
-1.17303421621806,0.274244580683056,-0.180903980841217,-0.644409925591513,-0.6107330542864,-0.934611735335278,-0.708289085394665,ejecta
-1.33905266016716,0.567177412702622,-0.406723495429835,-0.527622841803611,-0.689331644636519,-0.934611735335278,-0.708289085394665,ejecta
-1.54838026340734,0.563373338469532,-0.28924167333863,-0.628035436703134,-0.326226906061176,-0.989995115237388,-0.947034276512711,ejecta
-1.02867035191449,-0.461281001159093,-0.542703255881995,-0.33103812592834,-0.825977591153444,-1.02164276089574,-1.20283269556776,ejecta
-0.768815396168067,0.0135899170903716,-0.453176946929172,-0.449408342419247,-0.579016966916962,-0.916150608701241,-0.878821364764698,ejecta
-0.869870101180565,-0.0535537131831493,-0.47575498069801,-0.437665115180673,-0.60356976352539,-0.916150608701241,-0.878821364764698,ejecta
-1.01423396548413,-0.562635096134321,-0.515884690883384,-0.507582341924691,-0.711068526945791,-0.916150608701241,-0.878821364764698,ejecta
-1.03588854512967,-0.59458635851319,-0.520857328661833,-0.485393056674033,-0.748367040908292,-0.916150608701241,-0.878821364764698,ejecta
-0.595578759003785,2.86488936972365,0.246945889597722,-0.606846240397228,0.889013021042887,-0.813295760311608,-0.691235857457662,ejecta
-0.57392417935825,1.24388284234745,-0.532882641240335,0.0857032178283899,-0.742587006294236,-0.813295760311608,-0.691235857457662,ejecta
-0.646106111510034,0.902174163395583,-0.521026659804029,-0.198144100791399,-0.748317638903044,-0.813295760311608,-0.691235857457662,ejecta
-0.501742247206466,0.0950332039881574,-0.500348366261805,-0.120052255074551,-0.604409597614612,-1.13240952069996,-1.20283269556776,ejecta
-0.674978884370748,0.329630254375775,-0.482994119088792,-0.24605959869828,-0.72035610393248,-1.13240952069996,-1.20283269556776,ejecta
-0.725506236876997,0.193763213431214,-0.501778495124093,-0.0337144380025178,-0.814565727941076,-1.11394839406592,-1.20283269556776,ejecta
-0.732724430092175,0.104532708497605,-0.516755781719018,0.0280248500979,-0.833091479909206,-1.11394839406592,-1.20283269556776,ejecta
-0.812124555459138,-0.162870794168155,-0.494312076300272,-0.325671310017579,-0.735275509517481,-1.12977221689509,-1.20283269556776,ejecta
-0.790469975813603,-0.124061598310224,-0.505943284123615,-0.320927815225888,-0.707066964520675,-1.12977221689509,-1.20283269556776,ejecta
-0.884306487610922,-0.442270794387218,-0.491835999478734,-0.486763515749743,-0.530454795757838,-1.12977221689509,-1.20283269556776,ejecta
-1.02867035191449,-0.47842064304762,-0.520393299265724,-0.490619179697131,-0.657022733204101,-1.12977221689509,-1.20283269556776,ejecta
-0.913179260471636,-0.118971728700649,-0.528379679963948,-0.387749907859766,-0.770993159312035,-0.997907026651975,-0.964087504449715,ejecta
-0.978142999408242,-0.250889895098709,-0.546262402321454,-0.373528980829979,-0.697878191544483,-0.997907026651975,-0.964087504449715,ejecta
-1.00701577226896,-0.60413416422582,-0.508800326700702,-0.37244622352015,-0.818666094376689,-0.974171292408213,-0.810608453016685,ejecta
