u b v r i+ z++ vista_y vista_j vista_h vista_k irac_1 irac_2 Z_SIM
24.3999 24.37794 24.02249 23.76944 22.92125 22.46945 22.36551 22.1438 21.86518 21.66464 21.54288 21.94463 0.88653
26.19513 26.19379 25.97569 25.78488 25.06037 24.6405 24.53854 24.33052 24.09807 23.96835 23.93207 24.34176 0.88295
25.74438 25.72447 25.41525 25.17805 24.30033 23.97735 23.91641 23.79527 23.65191 23.58449 23.61397 24.02374 0.88138
25.8738 25.87656 25.66788 25.47744 24.71609 24.31516 24.21853 24.01752 23.78453 23.6499 23.60427 24.01191 0.88012
25.32432 25.24791 24.74315 24.44053 23.53794 23.07821 22.95687 22.72434 22.45435 22.2935 22.21363 22.62321 0.8775
26.25167 26.26848 26.11175 25.93084 25.17946 24.7887 24.68465 24.48544 24.25796 24.14361 24.12926 24.54412 0.87464
27.50466 27.45898 26.98841 26.60821 25.61857 25.14821 25.02676 24.80676 24.56927 24.4388 24.40177 24.81217 0.87162
25.41554 25.36159 24.95708 24.69063 23.84472 23.37671 23.24763 23.00554 22.70532 22.51748 22.42087 22.83059 0.87068
25.94861 25.81782 25.1279 24.72155 23.74262 23.20079 23.05639 22.79728 22.4839 22.28268 22.17092 22.57454 0.86789
26.11605 26.08834 25.74241 25.48341 24.57831 24.24183 24.16114 24.01221 23.83695 23.74745 23.76287 24.17774 0.86498
27.77487 27.62284 26.65518 26.03401 24.95215 24.29043 24.10785 23.80375 23.46258 23.27829 23.1987 23.61156 0.86286
24.97671 24.9624 24.74141 24.58251 23.82413 23.54518 23.4787 23.35299 23.18755 23.10616 23.13626 23.55874 0.85783
24.03128 23.85278 23.08179 22.62954 21.57192 21.02133 20.85553 20.58117 20.23801 20.01398 19.88302 20.28609 0.85336
25.79632 25.76863 25.47317 25.23211 24.38364 24.04387 23.93879 23.76802 23.56171 23.45782 23.46462 23.8938 0.84425
25.12282 25.03575 24.69288 24.48195 23.67412 23.31951 23.20559 23.0146 22.74576 22.59719 22.53498 22.96231 0.84077
26.12856 26.06987 25.59167 25.2198 24.22213 23.80785 23.67629 23.47645 23.23018 23.10131 23.07236 23.49533 0.83812
23.59224 23.42861 22.89138 22.58357 21.62489 21.25361 21.12891 20.9332 20.66319 20.50555 20.43245 20.85344 0.83578
25.86036 25.78236 25.34036 25.03032 24.09913 23.73607 23.61375 23.42737 23.18529 23.05699 23.0369 23.46233 0.83389
26.88819 26.75164 25.98762 25.39217 24.37561 23.70981 23.48906 23.17658 22.81524 22.6491 22.60853 23.03508 0.8323
24.43537 24.23055 23.47686 22.9807 21.9299 21.34488 21.13781 20.84189 20.44707 20.2047 20.09589 20.52553 0.83038
27.56526 27.37643 26.47111 25.90739 24.80975 24.28092 24.10263 23.84998 23.54955 23.39008 23.35008 23.77672 0.82666
24.24698 24.10835 23.62407 23.30933 22.38732 21.97762 21.82516 21.59991 21.27284 21.07778 20.99706 21.42449 0.82385
28.2319 28.06284 27.25516 26.70538 25.63428 25.14284 24.97127 24.73009 24.45335 24.32756 24.33265 24.76337 0.82084
24.65214 24.61706 24.3574 24.14679 23.32663 23.15921 23.09754 23.01832 22.89116 22.85345 22.93949 23.37831 0.81814
25.64157 25.58645 25.24668 24.97799 24.09437 23.80301 23.69386 23.53757 23.32292 23.21433 23.21364 23.64871 0.81651
24.13182 24.00836 23.61469 23.34972 22.46419 22.16555 22.04513 21.87275 21.61652 21.47694 21.44198 21.8759 0.8139
24.37541 24.31562 24.02954 23.78496 22.9618 22.75702 22.67612 22.56908 22.41662 22.36132 22.4473 22.88095 0.80701
26.17836 25.80911 24.60752 23.93704 22.76807 22.12735 21.88902 21.56863 21.16307 20.94065 20.87498 21.3254 0.80041
25.43601 25.36086 25.06265 24.81072 24.00303 23.73084 23.61988 23.46124 23.25009 23.15188 23.1957 23.63542 0.79645
30.14411 29.48192 27.71436 26.97847 25.74462 25.12699 24.90834 24.63032 24.25713 23.9873 23.89171 24.34861 0.79502
25.22399 25.21687 25.04569 24.85556 24.1382 23.85928 23.73754 23.55901 23.30351 23.18073 23.18957 23.64001 0.78853
26.5656 26.50031 26.12826 25.80622 24.94045 24.6513 24.52649 24.35581 24.13582 24.03661 24.09749 24.55011 0.78497
24.62819 24.44915 23.83943 23.43886 22.4523 22.04502 21.86649 21.62382 21.24982 21.01718 20.9392 21.40609 0.78261
25.16537 25.12207 24.84771 24.56703 23.76061 23.58405 23.49565 23.38675 23.23903 23.19077 23.305 23.75121 0.78094
25.34488 25.24751 24.79479 24.4454 23.53231 23.15909 22.99607 22.77386 22.4555 22.28563 22.26611 22.72736 0.7792
23.84275 23.63648 23.15822 22.82665 21.95853 21.61606 21.45466 21.23115 20.91919 20.75493 20.73385 21.19062 0.77573
24.75495 24.59593 24.09963 23.73987 22.82003 22.50011 22.35175 22.14963 21.85092 21.69155 21.67958 22.13939 0.77268
26.19243 26.11919 25.67561 25.29764 24.40444 24.13878 24.01261 23.84851 23.64379 23.55446 23.64266 24.09462 0.7687
24.11906 24.0326 23.50804 23.11942 22.17604 21.73928 21.54492 21.28609 20.9263 20.73771 20.72005 21.19739 0.76691
25.86149 25.78833 25.4451 25.13028 24.3124 24.08816 23.9767 23.82922 23.62635 23.53638 23.61588 24.07315 0.76333
25.04222 24.94916 24.5429 24.19473 23.32759 23.03382 22.88755 22.69421 22.43165 22.31484 22.35867 22.82288 0.75759
23.75663 23.46334 22.77167 22.32634 21.31407 20.86257 20.651 20.37102 19.97302 19.74978 19.6966 20.1752 0.75467
23.85095 23.71517 23.48553 23.27153 22.65588 22.55148 22.48268 22.39053 22.2282 22.16319 22.27715 22.74617 0.7541
25.55151 25.52377 25.26845 25.00209 24.22581 23.93358 23.78325 23.58133 23.30163 23.17437 23.20727 23.6758 0.75224
24.60682 24.26384 23.53381 23.04779 22.0133 21.60773 21.4063 21.14256 20.7828 20.58653 20.5458 21.00457 0.74929
24.08753 23.82533 23.3182 22.94085 22.06406 21.76697 21.61078 21.40095 21.08726 20.92685 20.91789 21.38404 0.74841
25.78379 25.70495 25.31862 24.95926 24.11985 23.8653 23.72931 23.55578 23.3271 23.22547 23.29978 23.76674 0.74486
23.858 23.63971 23.05226 22.61177 21.68125 21.38774 21.23711 21.04201 20.75983 20.62081 20.64041 21.1065 0.74283
27.53172 27.15329 25.93347 25.3 24.16617 23.7312 23.52554 23.27482 22.94495 22.78616 22.80828 23.28755 0.74276
25.15187 25.06728 24.72333 24.38478 23.60227 23.36229 23.23417 23.07049 22.84789 22.75157 22.84111 23.3047 0.73878
25.80772 25.72973 25.30774 24.88784 24.07851 23.81109 23.67619 23.50559 23.32322 23.25922 23.41785 23.86841 0.73424
29.1758 28.55098 27.14149 26.48647 25.45229 24.99941 24.8006 24.54639 24.3078 24.21129 24.36242 24.81104 0.73156
24.54886 24.01819 22.90234 22.28824 21.14493 20.66538 20.4296 20.13094 19.69461 19.45089 19.38882 19.87988 0.72951
23.94938 23.44673 22.04695 21.39152 20.22195 19.68701 19.43937 19.13523 18.74002 18.56339 18.58044 19.08269 0.72683
24.68049 24.5801 24.21986 23.87172 23.08266 22.79007 22.6319 22.4273 22.12675 21.98902 22.04268 22.52223 0.72438
27.40395 26.97792 25.64403 24.99826 23.88657 23.44748 23.23585 22.97963 22.65487 22.50821 22.56043 23.03494 0.72038
25.48298 25.39891 25.06495 24.6956 23.96844 23.74664 23.6285 23.46823 23.24722 23.16614 23.28992 23.75481 0.72084
26.31532 26.27085 25.92239 25.52886 24.77495 24.52033 24.38593 24.21045 23.99365 23.90561 24.04321 24.49953 0.71623
26.97311 26.73556 25.97535 25.38963 24.52239 24.22711 24.09031 23.91267 23.73058 23.66252 23.83811 24.28438 0.71646
25.55466 25.52939 25.34171 25.04424 24.42701 24.22737 24.12117 23.96536 23.74541 23.66198 23.79184 24.25703 0.70985
26.36366 26.15317 25.40781 24.85553 23.91063 23.56084 23.391 23.16542 22.85261 22.71422 22.78004 23.26063 0.70794
25.95361 25.62209 24.80571 24.24435 23.27889 22.88813 22.69603 22.44376 22.10149 21.94449 21.99408 22.47497 0.70537
25.79806 25.51783 24.98795 24.51996 23.69286 23.38487 23.22963 23.01085 22.67826 22.52565 22.57776 23.06035 0.70178
24.18257 23.99215 23.62645 23.20131 22.51863 22.33604 22.23797 22.09763 21.88954 21.81037 21.94934 22.40809 0.69936
