Vsw,Va,Sp,Tratio,sigma_Tp,f107,R,class
-0.39346934897879,0.695278656668931,-0.359126511200529,-0.249620264043109,-0.634297810789861,-0.723627430946287,-0.895874592701702,ejecta
-0.566705986143072,-0.338188453241052,-0.478144155197745,-0.263905229605005,-0.682958785959482,-0.768461595628948,-0.708289085394665,ejecta
-0.314069223611827,-0.34513998061611,-0.408553164827712,-0.474291806931726,1.56537587489799,-0.607586063532343,0.451330414321558,ejecta
-0.357378382902897,-0.21986482347002,-0.504332285192737,-0.0750130590950225,-0.434170287528812,-0.731539342360874,0.349011046699539,ejecta
-1.38958001267341,0.560847794540417,-0.428545047124028,-0.508029045429103,-0.746588568719352,-0.989995115237388,-0.947034276512711,ejecta
-1.16581602300288,-0.48696192898221,-0.529571592765796,-0.31840992656639,-0.828398289410613,-1.02164276089574,-1.20283269556776,ejecta
-1.07919770442074,1.50029421674343,-0.450367975557574,-0.31221972337542,-0.832449253840977,-0.750000468994911,-0.605969717772646,ejecta
-0.877088294395744,-0.355717499621602,-0.522524097598936,-0.354495363657555,-0.829188721494586,-0.916150608701241,-0.878821364764698,ejecta
-0.43677850826986,1.83714466537241,-0.369464099393777,-0.349549919993041,-0.501011200629824,-0.784285418458122,-0.503650350150626,ejecta
-0.545051406497536,3.37077143076642,-0.120621553712307,-0.435557187709998,0.492364320903917,-0.813295760311608,-0.691235857457662,ejecta
-0.552269599712715,0.888415902841911,-0.393587829898461,-0.531669333083361,0.281121346461989,-0.760549684214361,-0.759448769205675,ejecta
-0.840997328319852,-0.709538771027977,-0.514859691535426,-0.484371579709225,-0.420732942101262,-1.00845624187142,-0.998193960323721,ejecta
-0.927615646901993,-0.232419603642598,-0.521431446295337,-0.421858645205087,-0.746094548666868,-0.997907026651975,-0.964087504449715,ejecta
-0.927615646901993,-0.714795603848868,-0.503238710133398,-0.370855752629339,-0.869451355771988,-0.974171292408213,-0.810608453016685,ejecta
-0.703851657231462,0.0026475939501003,-0.525782678129294,0.217786582113001,-0.835314570145381,-0.902964089676929,-0.981140732386718,ejecta
-0.516178633636823,-0.432918933377513,-0.584389660476883,0.242585749974689,-0.839266730565249,-1.02955467231032,-1.04935364413473,ejecta
-0.126396200017188,0.83519173367036,-0.316798243714582,-0.46906637818843,0.451212450532045,-0.876591051628305,-0.623022945709649,ejecta
-0.978142999408242,-0.650433201915506,-0.542449543121629,-0.444173496449553,-0.728211022766967,-0.570663810264269,-0.554810033961636,ejecta
-1.1585978297877,-0.0456607556243575,-0.301579429271863,-0.649848133493472,-0.165472780983058,-0.586487633093444,-0.929981048575708,ejecta
-0.0542142678654037,1.85706530159503,-0.35616582242414,-0.0373206687369556,-0.369009042606244,-0.554839987435095,-0.31606484284359,ejecta
-0.0686506542957606,0.117545220564768,-0.47644394117798,0.18572802003264,-0.0530338170378227,-0.61549797494693,-0.588916489835642,ejecta
-0.443996701485039,0.756114091128317,-0.427919337568469,-0.230833221439934,-0.682563569917495,-0.473083569484361,-0.247851931095577,ejecta
-0.472869474345752,0.946859898667728,-0.468428865624389,-0.118519032059398,-0.735571921548971,-0.599674152117755,-0.384277754591603,ejecta
-0.140832586447545,2.13373327389252,0.290703126685912,-0.638187015717,2.34973151222598,-0.341218379241242,-0.16258579141056,ejecta
0.198422494665841,0.889302160644964,-0.56106164835762,2.08239542556271,-0.833980716003676,-0.351767594460692,0.0079464879594728,ejecta
-1.14416144335735,0.570647421093575,-0.57961429645565,0.416356299217428,-0.852802880003296,-0.72626473475115,-0.742395541268672,ejecta
-0.732724430092175,-0.439685740432271,-0.569809610505891,0.195435521493094,-0.650057050464084,-0.280560391729408,-0.281958386969583,ejecta
